Station_Name,Train_Count
SENJIPANAMBA,47
MOSUR,47
VARANASI CIT,47
DHANIOIAKHAL,47
DORNAKAL JN.,47
SIBAICHANDI,47
IRINJALAKUDA,46
SEHORE,46
SATARA,46
BHAWANI MAND,46
RAJCHANDRAPU,46
KASARWADI,46
BOBBILI JN.,46
KHAGRAGHAT R,46
BHANDARA RD,46
HOJAI,46
BALANGIR,46
ANGUL,46
AKALTARA,46
NIMO,46
AMALNER,46
AHMADPUR JN.,46
GHORAWADI,46
BALLY HALT,46
BALLY GHAT,46
BARANAGAR RO,46
GADAG JN.,46
LAHERIA SARA,46
KANHANGAD,46
TANDUR,46
BARKAKANA,46
MUMBAI VADAL,46
PALLA ROAD,46
NALHATI JN.,46
BARGARH ROAD,46
LALKUA JN.,46
BEGDAEWAI,45
SALAR,45
DALSINGH SAR,45
NARWANA JN.,45
GARIFA,45
PATLIPUTRA,45
MARIANI JN.,45
SOMPETA,45
HOOGHLY GHAT,45
FARRUKHABAD,45
DIMAPUR,45
KUTTIPPURAM,44
KANKRA MIRZA,44
JHARGRAM,44
GHORADONGRI,44
BAPUDHAM MOT,44
SONDALIA,44
KUMBAKONAM,44
MADHYAMPUR,44
BERCHHA,44
KAZIPARA  HA,44
FIROZABAD,44
DABRA,44
LEBUTALA,44
NIMDANRI,44
NIHALGARH,44
UMARIA,44
BHYABLA,44
RATANAGARH J,44
BAHIRA KALIB,44
TUMSAR RD,44
KUDAL,44
DEVLALI,44
TILDA,44
NAGAUR,44
NAGARSOL,44
TAKI ROAD,44
MALATI PUR,44
SHAHABAD,44
MANDYA,44
PARVATIPURAM,44
BELIAGHATA R,44
SHAMGARH,44
SIMHACHALAM,44
BASIRHAT,44
BIHTA,44
KAREA KADAMB,44
BHASILA,44
BARPETA ROAD,44
HASANABAD,44
BHIMAVARAM T,44
CHAMPAPUKUR,44
HARUA ROAD,44
GHOVARASH GH,44
BARIARPUR,44
SHANTIPUR JN,43
BANGALORE EA,43
SHRI MATA VA,43
TAPRI JN.,43
TADIPATRI,43
DIPHU,43
BASAR,43
BAHIRPUYA HA,43
MAKRANA JN.,43
SANGRAMPUR,43
DIGHWARA,42
CHANDAUSI JN,42
AKBARPUR JN.,42
DEOBAND,42
TRIBENI,42
BHIMAVARAM J,42
JIRAT,42
BHILWARA,42
GARWA ROAD J,42
SHEGAON,42
SHRI GANGANA,42
BALA GARH,42
TALIT,42
KUNTIGHAT,42
RAZAMPETA,42
BAIRAGARH,42
PRAYAG JN.,42
KOSI KALAN,42
DHAMANGAON,42
SAKRI JN.,42
DHAULPUR,42
DUMRAON,42
SITARAMPUR J,42
KAPTANGANJ J,42
VINDHYACHAL,42
PARPANANGADI,42
SADULPUR JN,42
KHAMARGACHHI,42
SOMRA BAZAR,42
MUNIGUDA,42
BANSH BARIA,42
KANPUR ANWAR,42
PURBA STHALI,42
ANUGRAH NARA,42
GUPTIPARA,42
ANARA,42
BACHWARA JN.,42
ALIPUR DUAR,42
NANGLOI,42
ANAND NAGAR,42
PIDUGURALLA,42
KAIKALUR,41
SAMUDRA GARH,41
SANGLI,41
BADSHAHNAGAR,41
DHATRI GRAM,41
AKIVIDU,41
PAKALA JN.,41
CHAPARMUKH J,41
SINGAPERUMAL,41
KAMSHET,41
BEAWAR,41
SHERTALAI,41
BHOJUDIH JN.,41
CHANDER NAGA,41
BILIMORA JN.,41
DALKOLHA,41
SELU,41
PALI MARWAR,41
HIJLI,41
SIHORAROAD,41
PATAUDI ROAD,41
KODAIKKANAL,41
DUMURDAHA,40
DHUPGURI,40
DURAUNDHA JN,40
ANNAVARAM,40
LALAGUDA GAT,40
RAXAUL JN.,40
SAMAKHIYALI,40
GANDHIDHAM J,40
INDARA JN.,40
GARHI HARSAR,40
BETTIAH,40
HINDAUN CITY,40
PHULIA,40
PATULI,40
SIMRI BAKHTI,40
PARTUR,40
MADHIRA,40
AGRADWIP,40
QUILANDI,40
SATTENAPALLE,40
KARMALI,40
NAILA,40
CHUNAR JN.,40
NOKHA,40
DAINHAT,40
GHATSILA,40
GEDE,40
BAGHNAPARA,40
DALTONGANJ,40
TALCHER ROAD,40
HABIBPUR,40
DATIA,40
GUSKARA,40
RAMANAGARAM,39
SHALIMAR,39
PHULWARI SHA,39
BURNPUR,39
BEHULA,39
PEDDAPALLI,39
VADGAON,39
BELAPUR,39
JADCHARLA,39
LAKSHMIPUR,39
WARIA,39
BHADOHI,39
KUPPAM,39
NEW TINSUKIA,39
KOSAMBA JN.,39
BHANDARTIKUR,39
BIBHUTI BHUS,38
GAURIGANJ,38
MADANMAHAL,38
MAGARWARA,38
MAJHDIA,38
ZAFARABAD JN,38
BAGULA,38
KAHALGAON,38
NARKHER,38
BAHIRGACHHI,38
RAJGANGPUR,38
JAMTARA,38
KANKAVALI,38
KANPUR BRIDG,38
BANPUR,38
RAGHUNATHPUR,38
KANTABANJI,38
KOCHUVELI,38
BAREILLY CIT,38
BELLARY JN.,38
SINGARAYAKON,38
PULGAON JN.,38
BELA,38
PRANTIK,38
BAZARASU,38
PODANUR JN.,38
DEHRA DUN,38
TARAK NAGAR,38
ARANGHATA,38
MAYURHAT,38
DUAN,38
BHAINA H,38
TINDIVANAM,38
SAMPLA,38
NADIKUDE JN.,38
JAYNAGAR,38
ATGAON,38
SANGRUR,38
JHALIDA,38
KALINAGAR,38
KRISHNAMOHAN,37
MALUR,37
CHANDIL JN.,37
RUTHIYAI JN,37
HARISH NAGAR,37
MALAVLI,37
GUDUVANCHERI,37
PANCHBHERIA,37
DHARMABAD,37
CHOPAN,37
IDGAH,37
MAVLI JN.,37
KHARDI,37
GOALPARA  TO,37
SHASAN ROAD,37
BANKIMNAGAR,37
KAKINADA TOW,37
JAGADHRI WOR,37
KANHE,37
BALAMAU JN.,37
BAIYYAPPANAH,37
JANGAON,37
SAMALKHA,37
KASHIPUR JN,37
PATEL NAGAR,36
MADHUBANI,36
PHAPHAMAU JN,36
CHURU,36
VANDALUR,36
KATTANGULATH,36
UMDANAGAR,36
UMBERMALLI,36
ASHOK NAGAR,36
MURARAI,36
KHACHROD,36
GULZARBAGH,36
BIJAPUR JN,36
BIHIYA,36
PILIBHIT JN.,36
CHANCHAI,36
PONMALAI (GO,36
KAJRA,36
WADAKANCHERI,36
KARAD,36
PALASDARI,36
HINGANGHAT,36
BHAGAT-KI-KO,36
CAVALRY BARR,36
SAPHALE,36
KHANNA,36
CHAKIA,36
THANSIT,36
ZAMANIA,36
SAMSI,36
LASUR,35
MEERUT CANT,35
LATUR ROAD,35
PILKHUA,35
KODURU,35
TAMLUK,35
MURTAJAPUR J,35
ALUABARI ROA,35
CHIKJAJUR JN,35
MANGALA GIRI,35
CHIDAMBARAM,35
KOTTAVALASA,35
KASHI,35
KRISHANA CAN,35
CHHATRAPATI,35
JAGI ROAD,35
SURATGARH JN,35
GANAUR,35
VENKATAGIRI,35
KANJARI BORI,35
FEROK,35
CHAKULIA,34
GHATPRABHA,34
URULI,34
PARLI VAIJNA,34
ARAMBAKKAM,34
GOTAN,34
MANCHESWAR,34
INDRAGARH SU,34
WASHIM,34
ELAVUR,34
KHAIRTHAL,34
TANUKU,34
KHARIAR ROAD,34
JEHANABAD,34
DAYANANDNAGA,34
BARWADIH JN,34
AZAMGARH,34
DHARHARA,34
TAREGNA,34
MANAMADURAI,34
VIDYASAGAR,34
PALAM,34
RAMAKISTA PU,34
SITAPUR CANT,34
ICHCHA PURAM,34
ALWAL HALT,34
BIDADI,34
SASTHANKOTTA,34
BAGAHA,34
PATTAMBI,34
MAHE,34
MANDUADIH,34
HINGOLI(DECC,34
KOVVUR,34
BOLARUM BAZA,34
SIRKAZHI,34
BELERHAT,34
MAHASAMUND,34
TADA,34
NARELA,34
BACHHRAWN,34
KOT KAPURA J,34
BAMRA,34
AMMUGUDA HAL,34
SAFILGUDA HA,34
RUDAULI,33
GOWDAVALLI H,33
KALYANI SIMA,33
GADARWARA,33
GORAKHPUR CA,33
