Train_No,Route,Journey_Duration
54303,DELHI JN. to KALKA,8 hours 30 minutes
15211,DARBHANGA JN to AMRITSAR JN.,8 hours 30 minutes
57553,PARLI VAIJNA to ADILABAD,8 hours 25 minutes
16175,CHENNAI EGMO to KARAIKAL,8 hours 25 minutes
12902,AHMEDABAD to MUMBAI CENTR,8 hours 25 minutes
56706,MADURAI JN to VILLUPURAM J,8 hours 25 minutes
12026,SECUNDERABAD to PUNE JN.,8 hours 25 minutes
12002,NEW DELHI to HABIBGANJ,8 hours 25 minutes
22914,PATNA JN. to BANDRA TERMI,8 hours 25 minutes
12869,CST-MUMBAI to HOWRAH JN.,8 hours 25 minutes
57539,AKOLA JN. to PARLI VAIJNA,8 hours 25 minutes
12837,HOWRAH JN. to PURI,8 hours 25 minutes
22972,PATNA JN. to BANDRA TERMI,8 hours 23 minutes
14011,DELHI JN. to HOSHIARPUR,8 hours 20 minutes
22891,HOWRAH JN. to RANCHI,8 hours 20 minutes
58208,JUNAGARH ROA to RAIPUR JN.,8 hours 20 minutes
55119,GORAKHPUR JN to VARANASI CIT,8 hours 20 minutes
51817,KHAJAURAHO to JHANSI JN,8 hours 20 minutes
68747,BILASPUR JN. to KATNI,8 hours 20 minutes
17610,PURNA  JN. to PATNA JN.,8 hours 20 minutes
12821,HOWRAH JN. to PURI,8 hours 20 minutes
54781,BATHINDA JN to REWARI JN.,8 hours 20 minutes
16179,CHENNAI EGMO to MANNARGUDI,8 hours 20 minutes
2025,CST-MUMBAI to KARMALI,8 hours 20 minutes
16180,MANNARGUDI to CHENNAI EGMO,8 hours 20 minutes
12325,KOLKATA to NANGAL DAM,8 hours 20 minutes
12326,NANGAL DAM to KOLKATA,8 hours 20 minutes
12638,MADURAI JN to CHENNAI EGMO,8 hours 20 minutes
59721,JAIPUR JN. to HISAR JN,8 hours 20 minutes
55812,KAMAKHYA JN to DHUBRI,8 hours 20 minutes
22892,RANCHI to HOWRAH JN.,8 hours 20 minutes
19408,VARANASI JN. to AHMEDABAD,8 hours 20 minutes
22119,CST-MUMBAI to KARMALI,8 hours 20 minutes
22628,TRIVANDRUM C to TIRUCHIRAPPA,8 hours 20 minutes
22627,TIRUCHIRAPPA to TRIVANDRUM C,8 hours 20 minutes
11015,LOKMANYA TIL to GORAKHPUR JN,8 hours 20 minutes
53358,DEHRI-ON-SON to BARKAKANA,8 hours 15 minutes
56273,ARSIKERE JN. to HUBLI JN.,8 hours 15 minutes
7134,QUILON to HYDERABAD DE,8 hours 15 minutes
54634,LUDHIANA JN. to BHIWANI JN.,8 hours 15 minutes
7110,QUILON to HYDERABAD DE,8 hours 15 minutes
22454,MEERUT CITY to LUCKNOW JN.,8 hours 15 minutes
12041,HOWRAH JN. to NEW JALPAIGU,8 hours 15 minutes
12637,CHENNAI EGMO to MADURAI JN,8 hours 15 minutes
2822,SANTRAGACHI to PUNE JN.,8 hours 15 minutes
17202,SECUNDERABAD to GUNTUR JN.,8 hours 15 minutes
55467,SILIGURI JN. to BAMANHAT,8 hours 15 minutes
22202,PURI to SEALDAH,8 hours 15 minutes
19223,AHMEDABAD to JAMMU TAWI,8 hours 15 minutes
14545,FARUKHNAGAR to SAHARANPUR J,8 hours 15 minutes
51606,CHIRMIRI to KATNI MURWAR,8 hours 15 minutes
11424,HUBLI JN. to SOLAPUR,8 hours 15 minutes
57564,NANDED to HYDERABAD DE,8 hours 15 minutes
14120,DEHRA DUN to KATHGODAM,8 hours 15 minutes
15209,SAHARSA JN. to AMRITSAR JN.,8 hours 15 minutes
55013,CHHAPRA JN. to VARANASI CIT,8 hours 10 minutes
16176,KARAIKAL to CHENNAI EGMO,8 hours 10 minutes
13236,DANAPUR to SAHIBGANJ,8 hours 10 minutes
17240,VISAKHAPATNA to GUNTUR JN.,8 hours 10 minutes
55014,VARANASI CIT to CHHAPRA JN.,8 hours 10 minutes
53030,BHAGALPUR to AZIMGANJ JN.,8 hours 10 minutes
51602,KATNI MURWAR to BINA,8 hours 10 minutes
13332,PATNA JN. to DHANBAD JN.,8 hours 10 minutes
8064,YESVANTPUR J to HOWRAH JN.,8 hours 10 minutes
53357,BARKAKANA to DEHRI-ON-SON,8 hours 10 minutes
55811,DHUBRI to KAMAKHYA JN,8 hours 10 minutes
12681,CHENNAI CENT to COIMBATORE,8 hours 10 minutes
18697,PURNEA COURT to PATNA JN.,8 hours 10 minutes
58207,RAIPUR JN. to JUNAGARH ROA,8 hours 10 minutes
9810,HAZRAT NIZAM to KOTA,8 hours 0 minutes
55712,NEW JALPAIGU to MALDA TOWN,8 hours 0 minutes
12590,SECUNDERABAD to GORAKHPUR JN,8 hours 0 minutes
55131,CHHAPRA JN. to VARANASI CIT,8 hours 0 minutes
17625,KACHEGUDA to REPALLE,8 hours 0 minutes
12460,AMRITSAR JN. to NEW DELHI,8 hours 0 minutes
