Train_No,Total_Distance,Number_of_Stops
12562,1224,21
12565,1153,11
12566,1156,11
12567,219,9
12568,219,9
12569,1238,23
12570,1238,23
12572,829,9
12577,3045,41
12578,3051,40
12581,745,6
12582,745,6
12587,1246,18
12588,1247,18
12589,1833,31
12590,1836,31
12591,2513,40
12592,2504,40
12593,581,6
12594,581,6
12595,760,6
12596,761,6
12597,1693,13
12598,1694,13
12601,883,31
12602,885,33
12603,715,22
12604,716,21
12605,425,13
12606,425,13
12607,360,12
12608,361,13
12609,360,19
12610,361,19
12611,2156,11
12612,2155,11
12613,138,4
12614,138,4
12615,2169,41
12616,2168,40
12617,2751,48
12618,2748,48
12619,893,24
12620,899,22
12621,2163,12
12622,2163,11
12623,913,21
12624,916,22
12625,3013,43
12626,3010,42
12627,2386,36
12628,2389,35
12629,2595,14
12630,2595,14
12631,649,15
12632,649,16
12633,738,17
12634,737,18
12635,492,10
12636,492,11
12637,492,11
12638,492,12
12639,360,12
12640,361,13
12641,2899,25
12642,2898,26
12643,2991,32
12644,2988,31
12645,2786,29
12646,2782,28
12647,2650,28
12648,2651,28
12649,2257,9
12650,2258,9
12651,2653,15
12652,2652,15
12653,336,14
12654,335,15
12655,1893,41
12656,1895,42
12657,360,8
12658,361,8
12659,2579,44
12660,2579,44
12661,665,18
12662,665,18
12663,2005,24
12664,2004,24
12665,2407,32
12666,2406,32
12667,722,11
12668,722,11
12669,2348,25
12670,2343,24
12671,526,9
12672,529,9
12673,491,8
12674,493,9
12675,491,11
12676,493,12
12677,581,14
12678,582,14
12679,491,12
12680,493,12
12681,491,7
12682,493,8
12683,617,14
12684,616,14
12685,883,18
12686,885,18
12687,3067,30
12688,3064,31
12689,918,19
12690,920,20
12691,528,11
12692,528,14
12693,652,22
12694,651,22
12695,914,21
12696,916,21
12697,901,14
12698,903,14
12701,791,16
12702,793,17
12703,1549,26
12704,1548,27
12705,391,14
12706,390,14
12707,2292,20
12708,2294,20
12709,651,17
12710,650,17
12711,430,14
12712,429,14
12713,358,9
12714,358,9
12715,2056,37
12716,2059,36
12717,350,13
12718,350,13
12719,1718,21
12720,1720,21
12721,1662,46
12722,1662,46
12723,1669,18
12724,1669,16
12725,491,17
12726,488,17
12727,718,21
12728,719,21
12729,658,13
12730,658,13
12731,790,16
12732,790,16
12733,661,23
12734,661,23
12735,686,11
12736,686,11
12737,575,21
12738,575,21
12739,708,12
12740,708,12
12741,2243,21
12742,2238,20
12747,353,15
12748,353,15
12749,441,19
12750,438,19
12757,305,14
12758,305,14
12759,797,17
12760,798,17
12761,712,12
12762,710,12
12763,744,19
12764,743,19
12765,1305,24
12766,1305,24
12767,1572,19
12768,1578,19
12769,711,17
12770,711,17
12771,587,14
12772,586,14
12773,1590,16
12774,1589,16
12775,598,11
12776,598,11
12777,1295,22
12778,1297,22
12779,2148,29
12780,2151,29
12781,2602,32
12782,2602,32
12783,710,15
12784,708,15
12785,623,17
12786,623,16
12791,1843,29
12792,1840,28
12795,314,4
12796,314,4
12797,707,22
12798,707,24
12801,1860,32
12802,1860,31
12803,2076,21
12804,2076,21
12805,688,21
12806,689,21
12807,1900,41
12808,1895,40
12809,1972,44
12810,1979,42
12811,1701,18
12812,1709,18
12813,254,8
12814,253,9
12815,1794,29
12816,1788,29
12817,1291,19
12818,1294,19
12819,1774,13
12820,1774,13
12821,504,15
12822,503,16
12823,1255,12
12824,1266,12
12825,1297,9
12826,1300,9
12827,323,14
12828,323,15
12829,1222,21
12830,1222,21
12831,725,12
12832,722,12
12833,2097,63
12834,2098,64
12835,1891,24
12836,1891,25
12837,504,14
12838,503,14
12839,1664,35
12840,1663,36
12841,1664,15
12842,1663,17
12843,2148,43
12844,2141,43
12845,1510,21
12846,1510,21
12847,185,5
12848,186,5
12849,1312,18
12850,1305,18
12851,1412,17
12852,1409,17
12853,889,31
12854,897,31
12855,416,16
12856,405,17
12857,185,8
12858,186,8
12859,1972,27
12860,1979,26
12861,578,18
12862,576,19
12863,1959,35
12864,1959,36
12865,344,9
12866,343,9
12867,1922,17
12868,1922,16
12869,1972,20
12870,1979,19
12871,745,31
12872,746,31
12873,1322,21
12874,1325,21
12875,1911,42
12876,1912,41
12877,1333,15
12878,1336,15
12879,1790,20
12880,1798,20
12881,504,9
12882,503,9
12883,322,12
12884,330,13
12885,318,13
12886,317,13
12887,504,10
12888,503,11
12889,1890,26
12890,1893,24
12891,311,16
12892,311,16
12893,395,16
12894,395,16
12895,504,10
12896,503,11
12897,1423,19
12898,1423,19
12901,490,14
12902,490,14
12903,1885,34
12904,1888,35
12905,2559,30
12906,2566,30
12907,1355,5
12908,1358,5
12909,1355,9
12910,1358,9
12911,1427,16
12912,1430,16
12913,650,14
12914,650,14
12915,930,20
12916,933,20
12917,1075,10
12918,1077,10
12919,1598,52
12920,1601,51
12921,262,14
12922,262,14
12923,606,12
12924,606,12
12925,1810,42
12926,1813,41
12927,391,7
12928,391,7
12929,344,19
12930,344,19
12931,490,11
12932,490,11
12933,490,11
12934,490,10
12935,251,10
12936,251,10
12937,2509,17
12938,2508,17
12939,1289,13
12940,1290,12
12941,2308,32
12942,2308,32
12943,1301,12
12944,1301,12
12946,632,14
12947,1754,19
12948,1754,19
12949,2664,37
12950,2670,37
12951,1373,8
12952,1376,8
12953,1366,13
12954,1369,13
12955,1157,19
12956,1158,19
12957,931,10
12958,934,10
12959,972,20
12960,972,20
12961,831,19
12962,831,19
12963,735,18
12964,733,18
12967,2179,32
12968,2174,32
12969,2673,39
12970,2667,39
12971,778,20
12972,778,20
12973,593,8
12974,593,8
12975,2483,42
12976,2483,43
12977,778,17
12978,2560,7
12979,1146,17
12980,1147,17
12981,672,21
12982,672,21
12983,715,15
12984,715,15
12985,302,6
12986,302,6
12987,1637,22
12988,1638,22
12989,974,23
12990,976,23
12991,434,15
12992,434,15
12993,2288,27
12994,2295,27
12995,944,19
12996,945,19
13005,1906,57
13006,1907,56
13007,1949,112
13008,1952,108
13009,1558,77
13010,1559,78
13011,340,18
13012,340,18
13013,111,6
13014,111,6
13015,158,5
13016,158,5
13017,275,15
13018,275,15
13019,1517,66
13020,1521,64
13021,691,42
13022,692,42
13023,658,33
13024,658,33
13027,275,11
13028,275,11
13033,419,49
13034,419,45
13043,697,19
13044,698,19
13049,1908,111
13050,1909,106
13053,210,6
13054,210,6
13063,403,12
13064,424,12
13071,472,21
13072,472,21
13103,229,14
13104,229,14
13105,680,30
13106,681,30
13109,112,2
13110,112,2
13113,222,12
13114,222,12
13117,222,11
13118,222,11
13119,1627,89
13120,1627,91
13121,740,16
13122,741,16
13129,78,2
13130,78,2
13131,545,44
13132,546,45
13133,871,82
13134,871,84
13135,618,17
13136,619,17
13137,785,22
13138,786,22
13141,716,34
13142,716,34
13145,473,20
13146,473,20
13147,692,24
13148,692,24
13149,734,25
13150,734,25
13151,1978,96
13152,1979,97
13153,350,14
13154,350,15
13155,618,19
13156,618,19
13157,564,14
13158,565,14
13159,542,16
13160,542,16
13161,427,12
13162,426,12
13163,589,33
13164,589,33
13165,606,15
13166,618,15
13167,1462,22
13168,1463,22
13169,569,27
13170,568,27
13185,625,22
13186,626,21
13187,228,10
13188,228,10
13201,1698,67
13202,1699,63
13205,223,9
13206,223,9
13225,264,20
13226,264,20
13233,108,15
13234,108,15
13235,305,29
13236,305,29
13237,1245,28
13238,1246,28
13239,1198,24
13240,1199,24
13241,271,21
13242,271,21
13243,242,24
13244,242,24
13245,487,32
13246,485,35
13247,969,41
13248,967,44
13249,193,12
13250,193,12
13257,971,8
13258,971,8
13287,1112,51
13288,1113,52
13301,198,12
13302,197,12
13303,295,10
13304,292,10
13305,198,17
13306,198,17
13307,1600,74
13308,1600,71
13319,331,20
13320,328,20
13329,290,11
13330,290,11
13331,367,22
13332,367,22
13345,208,9
13346,208,9
13347,493,32
13348,493,32
13351,2535,96
13352,2534,97
13401,230,28
13402,230,28
13403,572,26
13404,575,26
13409,231,17
13410,231,17
13413,1399,63
13414,1399,61
13415,399,18
13416,399,18
13417,659,16
13418,660,16
13419,239,18
13420,239,18
13421,224,11
13422,224,11
13423,1748,18
13424,1749,18
13425,2141,30
13426,2130,30
13429,1405,24
13430,1405,24
13465,329,15
13466,329,15
13483,1447,65
13484,1447,63
13501,330,18
13502,323,18
13505,379,14
13506,372,14
13507,641,15
13508,643,15
13509,859,24
13510,861,22
13511,166,9
13512,166,9
14001,471,2
14002,471,2
14003,1418,23
